Date,Event,Location,Death toll (where known; estimated)
"2200–
2100
BCE",The 4.2-kiloyear event caused famines and civilizational collapse worldwide,global,
"441
BCE",The first famine recorded in ancient Rome.,Ancient Rome[1],
"26
BCE","Famine recorded throughout Near East and Levant, as recorded by Josephus",Judea,"20,000+"
"103-89
BCE","Beminitiya Seya, was a period of over a decade in which ancient Sri Lanka's irrigation systems failed as a result of invasion, corruption and neglect[2]",Sri Lanka,
"370
CE",Famine in Phrygia,Phrygia,
"372–
373",Famine in Edessa,Edessa,
"400–
800","Various famines in Western Europe associated with the Fall of the Western Roman Empire and its sack by Alaric I. Between 400 and 800 AD, the population of the city of Rome fell by over 90%, mainly because of famine and plague.",Western Europe,
470,Famine,Gaul,
"535–
536",Volcanic winter of 536,Global,
585,Famine,Gaul,
639,Famine in Arabia during the Caliphate of Umar ibn al-Khattab[3],Arabia,
750s,,Islamic Spain (Al-Andalus)[4],
779,Famine,Francia,
"792–
793",Famine,Francia,
"800–
1000",Severe drought killed millions of Maya people due to famine and thirst and initiated a cascade of internal collapses that destroyed their civilization[5],Mayan areas of Mesoamerica,"1,000,000+"
"805–
806",Famine,Francia,
"875–
884",Peasant rebellion in China inspired by famine;[6][7] Huang Chao captured capital,China,
"927–
928",Caused by four months of frost[8][9],Byzantine Empire,
"963–
969",Famine,Egypt,
"1005–
1006",,Europe[10],
1016,Famine throughout Europe[11],Europe,
1025,Famine,Egypt,
1051,Famine forced the Toltecs to migrate from a stricken region in what is now central Mexico[12],Mexico (present day),
"1055–
1056",Famine,Egypt,
"1064–
1072",Seven years' famine in Egypt [13][14],Egypt,"40,000[13]"
"1069–
1070",Harrying of the North,England,"100,000"
1097,Famine and plague [15],France,"100,000"
"1124–
1126",Famine,Europe,
"1143–
1147",Famine,Europe,
"1150–
1151",Famine,Europe,
,,,
"1161–
1162",Famine,Aquitaine,
1181,Y?wa famine,Japan,"42,300"
"1196–
1197",Famine,Europe,
"1199–
1202",Famine,Egypt,"100,000"
"1224–
1226",Famine,Europe,
1230,Famine in the Novgorod Republic,Russia,
"1230–
1231","The Kanki famine, possibly the worst famine in Japan's history.[16] Caused by volcanic eruptions.[17]",Japan,"2,000,000"
1235,Famine in England[18],England,"20,000 in London"
"1256–
1258","Famine in Italy, Spain, Portugal and England[19]",Europe,
1264,Famine,Egypt,
"1275–
1277",Famine[20],Italy,
"1275–
1299","Collapse of the Anasazi civilization, widespread famine occurred[21]",United States (present day),
"1285–
1286",Famine[20],Italy,
1294,Famine,Egypt,
"1302–
1303",Famine in Spain and Italy[20],Europe,
1304,Famine,France,
1305,Famine,France,
1310,Famine,France,
"1315–
1317",Great Famine of 1315– 1317,Europe[22],"7,500,000"
1321,Famine,England,
"1328–
1330","Famine in Italy, Spain and Ireland[20]",Europe,
,,,
"1330–
1333",Famine,France,
"1333–
1337",Chinese famine of 1333–1337,China[23],"6,000,000"
"1339–
1340","Famine in Italy, Spain and Ireland[20]",Europe,
"1344–
1345","Famine in India, under the regime of Muhammad bin Tughluq",India,
"1346–
1347","Famine in France, Italy and Spain[20]",Europe,
"1349–
1351",Famine,France,
1351,Famine,England,
"1358–
1360",Famine,France,
1369,Famine,England,
1371,Famine,France,
"1374–
1375","Famine in France, Italy and Spain[20]",Europe,
"1374–
1375",Famine,Egypt,
1387,"After Timur the Lame left Asia Minor, severe famine ensued",Anatolia,
"1390–
1391",Famine,France,
"1394–
1396",Famine,Egypt,
"1396–
1407",The Durga Devi famine,India[24][11],
"1403–
1404",Famine,Egypt,
"1432–
1434",The Hungry Years,Czech Republic (present-day),
"1437–
1438","Famine in France, Holy Roman Empire, and Britain",Europe,
1441,Famine in Mayapan,Mexico[25],
,,,
"1450–
1454","Famine in the Aztec Empire,[26] interpreted as the gods' need for sacrifices.[27]",Mexico (present day),
"1460–
1461",Kansh? famine in Japan,Japan,"82,000"
"1472–
1474",Famine[28],Italy,
1476,Famine[28],Italy,
"1482–
1484",Famine[28],Italy,
1493,Famine[28],Italy,
"1502–
1505",Famine[28],Italy,
1504,,Spain[29],
1518,Venice,Italy (present day),
"1521–
1523","Famine in the Low Countries, Ireland and the Nordic Countries",Europe,
"1527–
1530",Famine[28],Italy,
1528,Famine in Languedoc,France[30],
"1533–
1534",Famine[28],Italy,
1535,Famine in Ethiopia,Ethiopia,
"1539–
1540",Famine[28],Italy,
1540,Tenbun famine,Japan,
"1544–
1545",Famine[28],Italy,
"1550–
1552",Famine[28],Italy,
"1558–
1560",Famine[28],Italy,
"1567–
1570","Famine in Harar, combined with plague. Emir of Harar died.",Ethiopia,
"1569–
1574","Pan-European famine, including Italy, France,",Europe,
,"Germany, Switzerland, Austria, Low Countries, Nordic Countries, Russia and mostly east of Ukraine[28]",,
"1585–
1587","Pan-European famine, including Italy, France, Low Countries, Britain and Ireland[28]",Europe,
"1590–
1598","Pan-European famine, including Italy, Spain, France, Germany, Switzerland, Austria, Britain and the Nordic countries[28]",Europe,
"1600–
1601",Famine in Emilia and southern Lombardy[31],Italy,
